SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,COLPAL,Colgate Palmolive (India), ,23/07/2021,29/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
BE,SUBEXLTD,Subex Ltd,02/07/2021, , ,01/07/2021, , ,AGM/DIV - RS 0.25 PER SH 
BE,JYOTHYLAB,Jyothy Labs Limited, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 4 PER SH    
BE,RANEENGINE,Rane Engine Valve Limited,15/07/2021, , ,14/07/2021, , ,ANNUAL GENERAL MEETING   
BE,ZYDUSWELL,Zydus Wellness Limited, ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 5 PER SH    
BE,ASTEC,Astec LifeSciences Ltd, ,24/07/2021,27/07/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
BE,VINYLINDIA,Vinyl Chemicals (India) L, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV-RS 3.75 PER SH   
BE,UBL,United Breweries Limited, ,03/07/2021,09/07/2021,01/07/2021, , ,AGM/DIV-RS 0.50 PER SH   
BE,TANTIACONS,Tantia Constructions Limi, ,20/07/2021,26/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
BE,HERCULES,Hercules Hoists Limited, ,03/08/2021,10/08/2021,30/07/2021, , ,AGM/DIV-RS 1.50 PER SH   
BE,GILLANDERS,Gillanders Arbuthnot Ltd, ,06/08/2021,13/08/2021,04/08/2021, , ,ANNUAL GENERAL MEETING   
BE,OFSS,Oracle Fin Serv Soft Ltd., ,29/07/2021,04/08/2021,27/07/2021, , ,ANNUAL GENERAL MEETING   
BE,DLINKINDIA,D-Link India Ltd, ,21/08/2021,27/08/2021,18/08/2021, , ,AGM/DIV - RS 1.80 PER SH 
BE,BOSCHLTD,Bosch Limited, ,14/07/2021,05/08/2021,12/07/2021, , ,AGM/DIV - RS 115 PER SH  
BE,VINATIORGA,Vinati Organics Limited, ,26/06/2021,03/07/2021,24/06/2021, , ,AGM/DIV - RS 6 PER SH    
BE,BATAINDIA,BATA INDIA LTD, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV - RS 4 PER SH    
BE,NOCIL,NOCIL Limited, ,28/07/2021,03/08/2021,26/07/2021, , ,AGM/DIV - RS 2 PER SH    
BE,ESCORTS,ESCORTS INDIA LTD, ,17/07/2021,27/07/2021,15/07/2021, , ,AGM/DIV-RS5/SPLDIV-RS2.5 
BE,VIPIND,VIP Industries Ltd., ,06/08/2021,13/08/2021,04/08/2021, , ,ANNUAL GENERAL MEETING   
BE,CENTURYTEX,CENTURY TEXTILES LTD, ,08/07/2021,16/07/2021,06/07/2021, , ,AGM/DIV - RE 1 PER SH    
BE,WIPRO,WIPRO LTD, ,12/07/2021,13/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
BE,BANKINDIA,Bank of India, ,16/07/2021,20/07/2021,14/07/2021, , ,ANNUAL GENERAL MEETING   
BE,DRREDDY,DR. REDDY'S LABORATORIES, ,13/07/2021,15/07/2021,09/07/2021, , ,AGM/DIV - RS 25 PER SH   
BE,HINDPETRO,HINDUSTAN PERTOLEUM CORP, ,12/07/2021,16/07/2021,08/07/2021, , ,DIV - RS 22.75 PER SH    
BE,M&M,MAHINDRA & MAHINDRA LTD, ,17/07/2021,06/08/2021,15/07/2021, , ,AGM/DIV-RS 8.75 PER SH   
BE,CARBORUNIV,Carborundum Univ Ltd, ,26/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
BE,RAYMOND,RAYMOND-depo, ,24/07/2021,02/08/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BE,ELGIEQUIP,Elgi Equipments Ltd, ,27/07/2021,02/08/2021,23/07/2021, , ,AGM/DIV - RS 0.80 PER SH 
BE,MAHSCOOTER,Maharashtra Scooters Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,AGM/DIV - RS 50 PER SH   
BE,BHARATFORG,Bharat Forge Ltd,16/07/2021, , ,15/07/2021, , ,DIV - RS 2 PER SH        
BE,NEULANDLAB,Neuland Laboratories Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RS 3 PER SH    
BE,SESHAPAPER,Seshasaye Pap & Boards , ,15/07/2021,24/07/2021,13/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
BE,BASF,BASF - Depo, ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV-RS 5/SPLDIV-RS 5 
BE,LYKALABS,Lyka Labs Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BE,JMCPROJECT,JMC Projects (I)  Ltd., ,08/07/2021,14/07/2021,06/07/2021, , ,AGM/DIV - RS 0.70 PER SH 
BE,VOLTAS,VOLTAS LTD, ,13/08/2021,27/08/2021,11/08/2021, , ,AGM/DIV - RS 5 PER SH    
BE,VSTIND,VST Industries Ltd., ,20/07/2021,27/07/2021,16/07/2021, , ,DIV - RS 114 PER SH      
BE,ONWARDTEC,Onward Technologies Ltd, ,09/07/2021,15/07/2021,07/07/2021, , ,AGM/DIV - RS 3 PER SH    
BE,EIHOTEL,EIH LTD DEP, ,23/07/2021,25/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
BE,AMARAJABAT,Amara Raja Batt Ltd-Depo, ,31/07/2021,06/08/2021,29/07/2021, , ,AGM/DIV - RS 6 PER SH    
BE,HEG,HEG Ltd, ,22/07/2021,28/07/2021,19/07/2021, , ,AGM/DIV - RS 3 PER SH    
BE,TATAPOWER,TATA POWER LTD, ,19/06/2021,05/07/2021,17/06/2021, , ,DIV - RS 1.55 PER SH     
BE,APOLLOTYRE,APOLLOTYRE - Depo, ,17/07/2021,23/07/2021,15/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
BE,UNICHEMLAB,UNICHEMLAB - Depo, ,26/07/2021,31/07/2021,22/07/2021, , ,AGM/DIV - RS 4 PER SH    
BE,FEDERALBNK,Federal Bank- depo, ,03/07/2021,09/07/2021,01/07/2021, , ,AGM/DIV-RS 0.70 PER SH   
BE,ESABINDIA,Esabindia-depo, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV - RS 25 PER SH   
BE,SWARAJENG,Swaraj Engines Ltd, ,03/07/2021,09/07/2021,01/07/2021, , ,DIV-RS 50/SPLDIV-RS 19   
BE,TITAN,Titan Company Limited, ,24/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 4 PER SH    
BE,CENTENKA,Century Enka Ltd, ,03/08/2021,05/08/2021,30/07/2021, , ,AGM/DIV - RS 8 PER SH    
BE,COSMOFILMS,Cosmo Films Ltd, ,17/07/2021,23/07/2021,15/07/2021, , ,ANNUAL GENERAL MEETING   
BE,TINPLATE,THE TINPLATE CO. (I) LTD, ,16/07/2021,30/07/2021,14/07/2021, , ,AGM/DIV - RS 2 PER SH    
BE,BLUESTARCO,Blue Star Limited-Depo,23/07/2021, , ,22/07/2021, , ,DIV - RS 4 PER SH        
BE,SHANTIGEAR,Shanthi Gears Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
BE,BANKBARODA,Bank of Baroda, ,02/07/2021,08/07/2021,30/06/2021, , ,ANNUAL GENERAL MEETING   
BE,WHEELS,Wheels India Ltd, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RE 1 PER SH    
BE,TTKPRESTIG,TTK Prestige Ltd., ,03/07/2021,03/07/2021,01/07/2021, , ,AGM/DIV - RS 30 PER SH   
BE,HERITGFOOD,Heritage Foods Ltd., ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
BE,GABRIEL,Gabriel India Ltd,28/07/2021, , ,27/07/2021, , ,DIV - RS 0.70 PER SH     
BE,LUMAXIND,Lumax Industries Ltd, ,24/08/2021,31/08/2021,20/08/2021, , ,AGM/DIV - RS 7 PER SH    
BE,ALKYLAMINE,Alkyl Amine Chem Ltd, ,14/07/2021,20/07/2021,12/07/2021, , ,AGM/DIV - RS 6 PER SH    
BE,MUNJALSHOW,Munjal Showa Ltd, ,14/08/2021,25/08/2021,12/08/2021, , ,AGM/DIV-RS 4.50 PER SH   
BE,21STCENMGM,21st Century Mgmt-Depo, ,10/07/2021,16/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
BE,BLUEDART,Blue Dart Express Ltd, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 15 PER SH   
BE,TATAMETALI,Tata Metaliks Ltd, ,24/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 4 PER SH    
BE,BANARBEADS,BanarasBeadsLtd-RollSett, ,21/07/2021,27/07/2021,19/07/2021, , ,ANNUAL GENERAL MEETING   
BE,KALPATPOWR,Kalpataru Pow Trans Ltd,08/07/2021, , ,07/07/2021, , ,DIV - RS 1.50 PER SH     
BE,PUNJABCHEM,Punj Chem & Crop Prot Ltd, ,05/08/2021,12/08/2021,03/08/2021, , ,DIV - RS 2 PER SH        
BE,EIMCOELECO,Eimco Elecon (India) Ltd., ,24/07/2021,05/08/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
BE,CADILAHC,Cadila Healthcare-Depo, ,30/07/2021,06/08/2021,28/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
BE,TIRUMALCHM,Thirumalai Chemicals Ltd, ,15/07/2021,21/07/2021,13/07/2021, , ,AGM/DIV-RS 2.20 PER SH   
BE,LAXMIMACH,LakshmiMachine-Roll Sett, ,15/07/2021,21/07/2021,13/07/2021, , ,AGM/DIV - RS 10 PER SH   
BE,GOODYEAR,Goodyear India Ltd, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV-RS18SPLDIV-RS80  
BE,NOVARTIND,NovartisIndiaLtd-RollSett, ,20/08/2021,27/08/2021,17/08/2021, , ,DIV - RS 10 PER SH       
BE,INDIANHUME,Indian Hume Pipe Co. Ltd, ,14/08/2021,26/08/2021,12/08/2021, , ,AGM/DIV - RS 2 PER SH    
BE,GMBREW,GM Breweries Ltd., ,30/06/2021,06/07/2021,28/06/2021, , ,AGM/DIV - RS 4 PER SH    
BE,RAMCOIND,Ramco Industries Ltd,12/08/2021, , ,11/08/2021, , ,ANNUAL GENERAL MEETING   
BE,DWARKESH,Dwarikesh Sugar Ind. Ltd., ,14/07/2021,20/07/2021,12/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
BE,GLAXO,GlaxoSmithKline Pharmaceu,20/07/2021, , ,19/07/2021, , ,AGM/DIV - RS 30  PER SH  
BE,PETRONET,PETRONET LNG LIMITED,02/07/2021, , ,01/07/2021, , ,DIV - RS 3.50 PER SH     
BZ,GANGOTRI,Gangotri Textiles Limited, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
BZ,GMBREW,GM Breweries Ltd., ,30/06/2021,06/07/2021,28/06/2021, , ,AGM/DIV - RS 4 PER SH    
BZ,TANTIACONS,Tantia Constructions Limi, ,20/07/2021,26/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,BANARBEADS,Banaras Beads Ltd, ,21/07/2021,27/07/2021,19/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,HEG,HEG Ltd, ,22/07/2021,28/07/2021,19/07/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,VIPIND,VIP Industries Ltd., ,06/08/2021,13/08/2021,04/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,COSMOFILMS,Cosmo Films Ltd, ,17/07/2021,23/07/2021,15/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,FEDERALBNK,Federal Bank Ltd., ,03/07/2021,09/07/2021,01/07/2021, , ,AGM/DIV-RS 0.70 PER SH   
EQ,TATAPOWER,Tata Power Co. Ltd., ,19/06/2021,05/07/2021,17/06/2021, , ,DIV - RS 1.55 PER SH     
EQ,CENTENKA,Century Enka Ltd, ,03/08/2021,05/08/2021,30/07/2021, , ,AGM/DIV - RS 8 PER SH    
EQ,APOLLOTYRE,Apollo Tyres Ltd., ,17/07/2021,23/07/2021,15/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
EQ,EIHOTEL,EIH Ltd, ,23/07/2021,25/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,CENTURYTEX,Century Textiles Ltd., ,08/07/2021,16/07/2021,06/07/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,ELGIEQUIP,Elgi Equipments Ltd, ,27/07/2021,02/08/2021,23/07/2021, , ,AGM/DIV - RS 0.80 PER SH 
EQ,21STCENMGM,21st Century Mgmt Ser Ltd, ,10/07/2021,16/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,MUNJALSHOW,Munjal Showa Ltd, ,14/08/2021,25/08/2021,12/08/2021, , ,AGM/DIV-RS 4.50 PER SH   
EQ,BLUEDART,Blue Dart Express Ltd, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 15 PER SH   
EQ,KALPATPOWR,Kalpataru Pow Trans Ltd,08/07/2021, , ,07/07/2021, , ,DIV - RS 1.50 PER SH     
EQ,ONWARDTEC,Onward Technologies Ltd, ,09/07/2021,15/07/2021,07/07/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,SHANTIGEAR,Shanthi Gears Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,WIPRO,Wipro Ltd, ,12/07/2021,13/07/2021,08/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,TIRUMALCHM,Thirumalai Chemicals Ltd, ,15/07/2021,21/07/2021,13/07/2021, , ,AGM/DIV-RS 2.20 PER SH   
EQ,LYKALABS,Lyka Labs Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,TATAMETALI,Tata Metaliks Ltd, ,24/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,M&M,Mah & Mah Ltd., ,17/07/2021,06/08/2021,15/07/2021, , ,AGM/DIV-RS 8.75 PER SH   
EQ,UNICHEMLAB,Unichem Laboratories Ltd., ,26/07/2021,31/07/2021,22/07/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,INDIANHUME,Indian Hume Pipe Co. Ltd, ,14/08/2021,26/08/2021,12/08/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,GABRIEL,Gabriel India Ltd,28/07/2021, , ,27/07/2021, , ,DIV - RS 0.70 PER SH     
EQ,GOODYEAR,Goodyear India Ltd, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV-RS18SPLDIV-RS80  
EQ,GLAXO,GlaxoSmithKline Pharmaceu,20/07/2021, , ,19/07/2021, , ,AGM/DIV - RS 30  PER SH  
EQ,GMBREW,GM Breweries Ltd., ,30/06/2021,06/07/2021,28/06/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,NEULANDLAB,Neuland Laboratories Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,ESABINDIA,Esab India Ltd., ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV - RS 25 PER SH   
EQ,TINPLATE,The Tinplate Co. (I) Ltd, ,16/07/2021,30/07/2021,14/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,EIMCOELECO,Eimco Elecon (India) Ltd., ,24/07/2021,05/08/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,BANKINDIA,Bank of India, ,16/07/2021,20/07/2021,14/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,BATAINDIA,Bata India Ltd., ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,DRREDDY,Dr. Reddys Lab Ltd, ,13/07/2021,15/07/2021,09/07/2021, , ,AGM/DIV - RS 25 PER SH   
EQ,NOCIL,NOCIL Limited, ,28/07/2021,03/08/2021,26/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,TITAN,Titan Company Limited, ,24/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,VOLTAS,Voltas Ltd., ,13/08/2021,27/08/2021,11/08/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,ESCORTS,Escorts India Ltd., ,17/07/2021,27/07/2021,15/07/2021, , ,AGM/DIV-RS5/SPLDIV-RS2.5 
EQ,HINDPETRO,Hindustan Petroleum Corp, ,12/07/2021,16/07/2021,08/07/2021, , ,DIV - RS 22.75 PER SH    
EQ,BASF,BASF Ltd., ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV-RS 5/SPLDIV-RS 5 
EQ,BHARATFORG,Bharat Forge Ltd,16/07/2021, , ,15/07/2021, , ,DIV - RS 2 PER SH        
EQ,LAXMIMACH,Lakshmi Mach Works, ,15/07/2021,21/07/2021,13/07/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,SWARAJENG,Swaraj Engines Ltd, ,03/07/2021,09/07/2021,01/07/2021, , ,DIV-RS 50/SPLDIV-RS 19   
EQ,ALKYLAMINE,Alkyl Amine Chem Ltd, ,14/07/2021,20/07/2021,12/07/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,JMCPROJECT,JMC Projects (I)  Ltd., ,08/07/2021,14/07/2021,06/07/2021, , ,AGM/DIV - RS 0.70 PER SH 
EQ,CARBORUNIV,Carborundum Univ Ltd, ,26/07/2021,02/08/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
EQ,PUNJABCHEM,Punj Chem & Crop Prot Ltd, ,05/08/2021,12/08/2021,03/08/2021, , ,DIV - RS 2 PER SH        
EQ,RAYMOND,Raymond Ltd., ,24/07/2021,02/08/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SESHAPAPER,Seshasaye Pap & Boards , ,15/07/2021,24/07/2021,13/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,LUMAXIND,Lumax Industries Ltd, ,24/08/2021,31/08/2021,20/08/2021, , ,AGM/DIV - RS 7 PER SH    
EQ,MAHSCOOTER,Maharashtra Scooters Ltd, ,10/07/2021,21/07/2021,08/07/2021, , ,AGM/DIV - RS 50 PER SH   
EQ,TTKPRESTIG,TTK Prestige Ltd., ,03/07/2021,03/07/2021,01/07/2021, , ,AGM/DIV - RS 30 PER SH   
EQ,WHEELS,Wheels India Ltd, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RE 1 PER SH    
EQ,RAMCOIND,Ramco Industries Ltd,12/08/2021, , ,11/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,HERITGFOOD,Heritage Foods Ltd., ,24/07/2021,30/07/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,BLUESTARCO,Blue Star Ltd.,23/07/2021, , ,22/07/2021, , ,DIV - RS 4 PER SH        
EQ,BANKBARODA,Bank of Baroda, ,02/07/2021,08/07/2021,30/06/2021, , ,ANNUAL GENERAL MEETING   
EQ,VSTIND,VST Industries Ltd., ,20/07/2021,27/07/2021,16/07/2021, , ,DIV - RS 114 PER SH      
EQ,AMARAJABAT,Amara Raja Batt Ltd, ,31/07/2021,06/08/2021,29/07/2021, , ,AGM/DIV - RS 6 PER SH    
EQ,CADILAHC,Cadila Healthcare Ltd., ,30/07/2021,06/08/2021,28/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
EQ,NOVARTIND,Novartis India Ltd., ,20/08/2021,27/08/2021,17/08/2021, , ,DIV - RS 10 PER SH       
EQ,DWARKESH,Dwarikesh Sugar Industrie, ,14/07/2021,20/07/2021,12/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
EQ,PETRONET,Petronet LNG Limited,02/07/2021, , ,01/07/2021, , ,DIV - RS 3.50 PER SH     
EQ,XPROINDIA,Xpro India Limited, ,03/08/2021,10/08/2021,30/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,GODREJIND,Godrej Industries Ltd., ,06/08/2021,13/08/2021,04/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,TRENT,Trent Ltd., ,13/07/2021,15/07/2021,09/07/2021, , ,AGM/DIV - RE 0.60 PER SH 
EQ,3MINDIA,3M India Limited, ,21/08/2021,26/08/2021,18/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,PONNIERODE,Ponni Sugars (Erode) Limi, ,08/07/2021,20/07/2021,06/07/2021, , ,AGM/DIV-RS4/SPLDIV-RE1   
EQ,PNB,Punjab National Bank, ,20/07/2021,26/07/2021,16/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,INDORAMA,Indo Rama Synthetics (Ind, ,18/08/2021,24/08/2021,13/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,UCOBANK,UCO Bank, ,14/07/2021,20/07/2021,12/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SUVEN,Suven Life Sciences Ltd, ,04/08/2021,06/08/2021,02/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,CANBK,Canara Bank, ,28/07/2021,03/08/2021,26/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SKFINDIA,SKF India Limited,07/07/2021, , ,06/07/2021, , ,AGM/DIV - RS 14.50 PER SH
EQ,CLNINDIA,Clariant Chemicals (I)Ltd, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV - RS 15 PER SH   
EQ,QUINTEGRA,Quintegra Solutions Ltd, ,24/07/2021,30/07/2021,22/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,RANEHOLDIN,Rane Holdings Limited,30/07/2021, , ,29/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,GOLDIAM,Goldiam International Lim, ,14/08/2021,28/08/2021,12/08/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,VIMTALABS,Vimta Labs Limited, ,29/06/2021,05/07/2021,25/06/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,SASKEN,Sasken Technologies Ltd, ,17/07/2021,17/07/2021,15/07/2021, , ,DIV - RS 15 PER SH       
EQ,JSWSTEEL,JSW Steel Limited, ,07/07/2021,09/07/2021,05/07/2021, , ,AGM/DIV - RS 6.50 PER SH 
EQ,WENDT,Wendt (India) Ltd., ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 20 PER SH   
EQ,JINDALSAW,Jindal Saw Limited, ,10/07/2021,16/07/2021,08/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,ATUL,Atul Ltd., ,17/07/2021,23/07/2021,15/07/2021, , ,AGM/DIV - RS 20 PER SH   
EQ,SHRIRAMCIT,Shriram City Union Financ, ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 13 PER SH   
